,method_name,count
0,.to_numpy(,199
1,.read_parquet(,17
2,.unstack(,11603
3,.from_frame(,3
4,.array(,1273
5,.to_pydatetime(,318
6,.get_dummies(,33953
7,.andrews_curves(,3
8,.cov(,1100
9,.infer_objects(,0
10,.ceil(,1539
11,.idxmin(,727
12,.to_latex(,1090
13,.symmetric_difference(,175
14,.read_pickle(,7965
15,.to_xml(,0
16,.get_slice_bound(,0
17,.wide_to_long(,16
18,.rdivmod(,0
19,.to_feather(,8
20,.set_ordered(,0
21,.get_value(,2958
22,.unique(,30077
23,.infer_freq(,2
24,.diff(,2139
25,.is_(,1
26,.bool(,138
27,.to_string(,890
28,.resample(,7037
29,.period_range(,694
30,.get_loc_level(,0
31,.first_valid_index(,78
32,.is_dtype_equal(,0
33,.read_hdf(,1852
34,.iloc[,135234
35,.snap(,6
36,.reindex_like(,63
37,.hist(,21299
38,.read_orc(,0
39,.dot(,17815
40,.product(,1970
41,.select_dtypes(,3023
42,.filter(,9550
43,.nlargest(,1188
44,.get(,56847
45,.to_clipboard(,322
46,.cumsum(,6251
47,.to_series(,472
48,.rename_categories(,251
49,.to_excel(,7350
50,.std(,24179
51,.floordiv(,11
52,.rename_axis(,243
53,.max(,33388
54,.shift(,5068
55,.asfreq(,1455
56,.equals(,733
57,.add_prefix(,574
58,.add(,66485
59,.sort_index(,13968
60,.parallel_coordinates(,11
61,.concat(,68616
62,.notnull(,11204
63,.truediv(,4
64,.mean(,116908
65,.read_xml(,0
66,.intersection(,4024
67,.is_interval(,0
68,.div(,2161
69,.nsmallest(,176
70,.to_perioddelta(,0
71,.kurtosis(,392
72,.swapaxes(,348
73,.argmin(,1076
74,.le(,7
75,.to_native_types(,5
76,.sample(,13129
77,.remove_categories(,22
78,.to_numeric(,7208
79,.take_nd(,1
80,.delete(,916
81,.tail(,20606
82,.sort(,28817
83,.transpose(,13585
84,.to_tuples(,0
85,.boxplot_frame_groupby(,0
86,.items(,29340
87,.drop(,133214
88,.align(,340
89,.to_pytimedelta(,6
90,.cummax(,52
91,.read_json(,7022
92,.lag_plot(,3
93,.is_type_compatible(,0
94,.strftime(,14308
95,.ffill(,507
96,.is_floating(,0
97,.first(,3253
98,.difference(,2743
99,.expanding(,199
100,.round(,6126
101,.read_html(,2205
102,.read_sql_table(,389
103,.total_seconds(,1880
104,.eq(,559
105,.agg(,13353
106,.ravel(,17626
107,.divide(,675
108,.abs(,1914
109,.merge(,67558
110,.query(,11390
111,.isnull(,39748
112,.to_datetime(,29163
113,.iterrows(,32722
114,.describe(,42231
115,.set_eng_float_format(,21
116,.to_html(,1597
117,.to_julian_date(,33
118,.reorder_levels(,197
119,.to_period(,572
120,.to_timedelta(,612
121,.corrwith(,850
122,.putmask(,0
123,.test(,527
124,.autocorr(,273
125,.json_normalize(,297
126,.iat[,1768
127,.mad(,73
128,.reorder_categories(,59
129,.pivot_table(,14980
