,method_name,coverage
325,.read_csv(,0.6080913064185074
204,.head(,0.4750597428213785
234,.append(,0.3815069099369065
87,.drop(,0.20204663943995582
203,.loc[,0.18538608403191342
64,.mean(,0.18357377975023917
327,.groupby(,0.1803200613654659
138,.to_csv(,0.16980026720951502
34,.iloc[,0.13936619926074845
208,.sum(,0.13776462803508283
61,.concat(,0.13476378931751992
335,.apply(,0.11357247320529193
114,.describe(,0.11034825744835987
152,.astype(,0.11018388566467313
236,.replace(,0.10517686825390804
244,.ix[,0.10379024474537125
109,.merge(,0.09608162955657551
255,.sort_values(,0.09573602734472135
140,.join(,0.09524291199366115
326,.dropna(,0.09484673384836492
181,.reset_index(,0.09480880189828336
132,.keys(,0.08546489819486064
44,.get(,0.08211002794320323
180,.transform(,0.08161691259214303
315,.fillna(,0.07979617898822845
324,.set_index(,0.07378185756974211
265,.count(,0.07311172645163466
53,.max(,0.06991279866142362
143,.copy(,0.06986643738910173
111,.isnull(,0.06952504983836774
149,.value_counts(,0.06793190793494248
334,.rename(,0.06700889714962469
82,.sort(,0.06531460337931529
6,.get_dummies(,0.06461075497224646
295,.tolist(,0.05987347587317242
86,.items(,0.059553161628039294
112,.to_datetime(,0.05790101446893162
113,.iterrows(,0.057184522078502276
81,.tail(,0.056682977405201736
184,.info(,0.055612453480677886
22,.unique(,0.05099318489296868
273,.map(,0.05019239928013588
201,.min(,0.049429545617384635
50,.std(,0.04926095917257773
37,.hist(,0.045286533736254936
58,.add(,0.03978218631330948
266,.sub(,0.034543362540934895
219,.read_excel(,0.03387744608394762
209,.iteritems(,0.03303029919879292
297,.corr(,0.03213679104131632
76,.sample(,0.031399225345286115
328,.update(,0.03077124083838039
293,.drop_duplicates(,0.0298608740364231
254,.read_table(,0.02960377970809257
59,.sort_index(,0.02760181567601057
106,.ravel(,0.02729414541423797
129,.pivot_table(,0.02692746989678295
94,.strftime(,0.026838962013259325
83,.transpose(,0.026286841406516707
105,.agg(,0.02602974707818618
166,.contains(,0.024596762297327483
336,.isin(,0.023926631179220035
62,.notnull(,0.023045767005103954
284,.insert(,0.021861447230335444
158,.pop(,0.02076563533909056
269,.median(,0.020297807954751397
39,.dot(,0.019863697859373617
232,.boxplot(,0.019813121925931546
2,.unstack(,0.01965717946448516
341,.date_range(,0.018312702567150087
250,.format(,0.0181103988333818
257,.any(,0.017490843648716423
197,.crosstab(,0.016905005753012427
249,.read_sql(,0.016867073802930874
142,.reindex(,0.01677435125828708
91,.read_json(,0.01663105278020121
14,.read_pickle(,0.01541723037759149
110,.query(,0.015252858593904756
218,.cut(,0.014481575608913165
42,.filter(,0.013950528307771414
313,.argmax(,0.013811444490805716
156,.to_dict(,0.013765083218483817
46,.cumsum(,0.013246679900702584
28,.resample(,0.012466967593470647
49,.to_excel(,0.01240796233778823
78,.to_numeric(,0.010924401623487463
337,.to_pickle(,0.01026269982762036
100,.round(,0.009984532193688967
241,.set_value(,0.009811731087761889
66,.intersection(,0.009411338281345489
238,.pivot(,0.009145814630774612
346,.to_json(,0.009133170647414094
279,.stack(,0.009002516152688742
212,.to_sql(,0.008690631229795968
177,.applymap(,0.008361887662422502
54,.shift(,0.008045788078409555
308,.to_frame(,0.008016285450568346
150,.read_sql_query(,0.00797413883936662
231,.argsort(,0.007889845616963168
237,.all(,0.007868772311362305
282,.take(,0.007523170099508149
289,.eval(,0.0069415468649243256
169,.duplicated(,0.006777175081237593
322,.where(,0.0066928818588341404
253,.melt(,0.006528510075147408
227,.var(,0.00651586609178689
97,.first(,0.006402070241542229
270,.aggregate(,0.006102829302009972
98,.difference(,0.006077541335288936
41,.select_dtypes(,0.005984818790645138
40,.product(,0.005976389468404793
242,.union(,0.0058204470069584055
348,.idxmax(,0.005807803023597888
101,.read_html(,0.00573193912343478
342,.nunique(,0.005516991406305976
68,.div(,0.00549170343958494
213,.quantile(,0.005474844795104249
189,.assign(,0.005436912845022696
24,.diff(,0.005023876055245778
139,.mode(,0.004956441477323016
130,.itertuples(,0.004766781726915247
103,.total_seconds(,0.00438746222609971
271,.scatter_matrix(,0.00438746222609971
10,.ceil(,0.004374818242739192
108,.abs(,0.004277881036975222
347,.normalize(,0.004256807731374359
316,.qcut(,0.004185158492331424
33,.read_hdf(,0.0038817028916789944
301,.xs(,0.003864844247198304
222,.factorize(,0.0038564149249579586
252,.get_level_values(,0.003839556280477268
161,.at[,0.003822697635996578
333,.pct_change(,0.0038016243303957147
174,.pow(,0.0036498965300694997
116,.to_html(,0.003624608563348464
21,.get_value(,0.0036077499188677735
73,.argmin(,0.003224215756932064
190,.rank(,0.003198927790211028
148,.floor(,0.003190498467970683
8,.cov(,0.0030682732954856766
147,.rolling(,0.0030219120231637776
136,.subtract(,0.0029755507508418787
248,.read_stata(,0.0029207601562796343
251,.interpolate(,0.0029165454951594616
43,.nlargest(,0.0029081161729191166
168,.skew(,0.0028027496449148006
288,.get_loc(,0.002794320322674455
126,.iat[,0.0026046605722666867
300,.squeeze(,0.002440288788579954
11,.idxmin(,0.002351780905056329
